Last Raced,Pgm,Horse Name,Jockey,Wgt,M/E,PP,Start,1st call,1st lengths ahead,2nd call,2nd lengths ahead,Stretch,Stretch lengths ahead,Finish,Finish Lengths ahead,Odds,Comments
---,2,Pure Force,Florent Geroux,118,L,2,4,2,1/2,2,1 1/2,1,1,1,2 1/4,1.83*,"pressed, drew clear"
16Feb24,3,Top Gun Rocket,Junior Alvarado,118,Lb,3,3,4,Head,4,1/2,4,1,2,1,12.21,"split horses, gaining"
23Jul23,7,Culprit,John Velazquez,118,L,7,1,3,1 1/2,3,1/2,3,1/2,3,1 1/2,4.33,"bumped foe, bid, hung"
13Apr24,5,Lou's Legacy,Luis Saez,118,b,5,7,7,1/2,6,Head,5,2,4,1 1/2,4.94,"bumped, steadied early"
23Mar24,6,House United,Julien Leparoux,118,Lb,6,8,8,8,6,3,5,1/2,6.84,"bumped, checked early"
27Jan24,1,Evan On Earth,Tyler Gaffalione,118,L,1,2,1,1,1,Head,2,Head,6,8,3.14,"pace inside, gave in"
7Mar24,4,Manfredi,Charle Oliveros,118,Lb,4,5,5,1,5,1,7,1 1/2,7,2,33.24,"saved ground, even"
13Apr24,8,Title Contender,Yoel Navas,113,Lf,8,6,,6,1,7,2,8,,8,,31.79,"5 w, dropped out"
""
""
Last Raced,Pgm,Horse Name,Jockey,Wgt,M/E,PP,Start,1st call,1st lengths ahead,2nd call,2nd lengths ahead,3rd call,3rd lengths ahead,Stretch,Stretch lengths ahead,Finish,Finish Lengths ahead,Odds,Comments
19Apr24,6,Scylla,Javier Castellano,122,L,4,6,4,1/2,6,Head,3,2 1/2,1,2,1,7,0.49*,"bothered st,urged turn"
24Nov23,10,Secret Statement,Julien Leparoux,122,Lb,8,5,1,1,1,1 1/2,1,1/2,2,1 1/2,2,2,11.47,"pace, ins, no match"
8Mar24,3,Joke Sisi (CHI),Jose Ortiz,122,Lhf,2,3,5,Head,7,2,5,Head,5,2,3,1 3/4,8.20,"3p trn, 2p upr,movd up"
16Mar24,11,Victorious,Axel Concepcion,122,L,9,8,3,1,2,1/2,2,Head,3,1 1/2,4,2,23.27,"brushed gate st, wknd"
22Nov23,2,Zawish,Brian Hernandez Jr.,122,L,1,1,8,1 1/2,4,1/2,4,2,4,Head,5,1 1/4,33.63,"ins turn, bid, faded"
14Mar24,8,Coppa Girl,Florent Geroux,122,L,6,9,9,8,Head,8,7,6,2,6,1 1/2,4.62,"in tight st, improved"
14Mar24,5,Gunesh,Paco Lopez,122,Lf,3,2,2,1/2,3,1,6,2,7,2,7,5,18.42,"broke out st, thru 1/2"
14Apr24,9,Baby Gundin,Junior Alvarado,124,Lb,7,7,6,Head,5,Head,7,Head,8,7 1/2,81,4 3/4,34.02,"4p trn, 5p upr, empty"
15Sep23,7,Friendlypersuasion,James Graham,122,L,5,4,,7,2,9,,9,,9,,9,,39.41,done early
""
""
Last Raced,Pgm,Horse Name,Jockey,Wgt,M/E,PP,Start,1st call,1st lengths ahead,2nd call,2nd lengths ahead,3rd call,3rd lengths ahead,Stretch,Stretch lengths ahead,Finish,Finish Lengths ahead,Odds,Comments
30Mar24,11,Mindframe,Irad Ortiz Jr.,118,L,8,1,1,1,1,1,1,1/2,1,6,1,7 1/2,0.46*,"leisurely pace,rdn out"
16Mar24,2,Cornishman,Florent Geroux,120,L,2,5,4,1 1/2,3,1/2,3,Head,3,2,2,Neck,6.89,"inside,edge place late"
6Mar24,8,Higgins Boat,Tyler Gaffalione,118,L,5,3,2,1 1/2,2,1,2,2,2,1 1/2,3,2,30.27,"bmp,outs winnr,no mtch"
8Mar24,4,Anthem King,Jose Ortiz,120,L,4,8,8,7,1/2,7,Head,5,Head,4,3/4,23.93,"bmpd/took back st,4-2w"
24Mar24,1,Cartucho,Javier Castellano,118,Lb,1,7,6,2,6,1/2,6,1 1/2,6,4 1/2,5,1 1/4,10.19,"chckd,2-3p,5p upr,mild"
6Apr24,3,Elephants Ear,Brian Hernandez Jr.,122,L,3,4,5,Head,5,1 1/2,4,Head,4,1/2,61,0 1/4,11.11,"2w,btw2nd,4p upr,yield"
23Mar24,10,Mena,Reylu Gutierrez,118,Lb,7,2,3,1/2,4,Head,5,1 1/2,8,7,4,33.82,"trck 4-3p,tired 6p upr"
31Mar24,9,Invigorated,Luis Saez,120,L,6,6,,7,Head,8,,8,,7,1/2,8,,6.58,"stutter step st,no bid"
""
""
Last Raced,Pgm,Horse Name,Jockey,Wgt,M/E,PP,Start,1st call,1st lengths ahead,2nd call,2nd lengths ahead,3rd call,3rd lengths ahead,Stretch,Stretch lengths ahead,Finish,Finish Lengths ahead,Odds,Comments
23Mar24,1,Strong Quality,Florent Geroux,123,b,1,3,1,Head,1,1,1,1 1/2,1,1/2,1,1/2,5.51,"dug in, held sway"
6Apr24,7,Kupuna,Mitchell Murrill,123,b,6,7,6,1/2,5,1/2,3,1,2,3,2,4 3/4,6.06,"angled out, gaining"
6Apr24,10,Five Star General,Tyler Gaffalione,120,--,9,2,2,1 1/2,2,1,2,1/2,3,4,3,3/4,15.81,"disputed pace, gave in"
30Mar24,2,Denington,Brian Hernandez Jr.,118,--,2,10,10,10,9,1/2,6,5,4,3 1/2,7.69,"far back, swung wide"
23Mar24,6,Best Actor,Flavien Prat,118,b,5,6,8,2,8,1,6,1,4,1,5,1 1/2,1.72*,advanced between foes
30Mar24,11,Oscar Eclipse,Jose Ortiz,118,b,10,1,3,1/2,4,1/2,4,2,5,1,61,3 1/4,5.13,"forwardly 4w, faltered"
24Mar24,3,Collaborate,Edwin Maldonado,118,--,3,5,7,Head,7,1/2,7,2,7,2,7,1/2,41.07,"shifted out, belatedly"
30Mar24,9,U. S. Army,Joel Rosario,120,bf,8,9,5,1/2,6,Head,10,10,8,Neck,22.90,"wide,through after 1/2"
10Apr24,5,Not Normal,Adam Beschizza,118,b,4,4,4,1,3,1/2,5,1/2,8,1 1/2,9,2 1/2,25.61,"contended, faltered"
30Mar24,8,Strava,Irad Ortiz Jr.,118,b,7,8,,9,12,9,15,8,3,9,2,10,,8.12,"came 6w, empty"
""
""
